RespID,ppl_like_you,President,Congress,Supreme_Court,CDC,Election_officials,Intelligence,Media,Police,USPS,age,education,race,gender,income_cat,voter_cat
470323,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,73,College,White,Male,$40-75k,always
470326,2.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,70,High school or less,White,Male,$75-125k,sporadic
470329,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,29,College,White,Male,$125k or more,sporadic
470330,3.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,76,High school or less,White,Male,$40-75k,sporadic
470331,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,63,Some college,Black,Female,$125k or more,always
470332,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,55,High school or less,White,Male,$40-75k,sporadic
470333,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,61,Some college,Hispanic,Female,$75-125k,always
470334,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,43,Some college,White,Female,Less than $40k,rarely/never
470338,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,57,College,Black,Female,$125k or more,sporadic
470340,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,51,College,White,Female,$125k or more,always
470341,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,69,College,White,Female,$75-125k,always
470343,2.0,1.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,73,College,White,Male,$125k or more,sporadic
470344,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,56,Some college,White,Female,Less than $40k,rarely/never
470345,3.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,58,High school or less,White,Male,$75-125k,always
470348,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,83,High school or less,White,Male,$75-125k,sporadic
470349,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,27,Some college,White,Female,$125k or more,always
470350,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,83,Some college,Other/Mixed,Male,$75-125k,sporadic
470351,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,53,High school or less,White,Male,$40-75k,always
470352,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,35,College,White,Female,$75-125k,sporadic
470353,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,75,College,White,Female,$125k or more,sporadic
470354,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,53,Some college,White,Female,Less than $40k,sporadic
470355,3.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,1.0,1.0,61,High school or less,Other/Mixed,Male,$125k or more,always
470356,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,59,High school or less,Black,Female,$40-75k,always
470358,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,28,College,White,Male,$40-75k,rarely/never
480385,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,45,College,Other/Mixed,Female,$125k or more,rarely/never
470359,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,58,College,White,Female,$75-125k,always
470361,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,69,Some college,White,Female,$125k or more,always
470362,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,40,High school or less,White,Male,$40-75k,sporadic
470363,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,62,Some college,White,Female,$75-125k,rarely/never
470364,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,75,College,White,Female,$125k or more,sporadic
470365,3.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,46,College,White,Female,$75-125k,sporadic
470366,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,51,College,White,Female,$125k or more,always
470367,3.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,78,High school or less,White,Female,Less than $40k,sporadic
